Ciudad,Colaboratividad Original,Colaboratividad 1,Colaboratividad 2,Colaboratividad 10,Colaboratividad 11
CABA,14.925324977653487,1.0073574805763634,0.2855740045187606,0.32657599282206623,0.29294249613683077
CDMX,8.366210359328063,0.8651179242409749,-0.00980941933338264,0.21583625634710768,0.18776907618338942
Santiago,7.044561834579703,0.9127478570975167,0.015004802085387348,0.2418854387531713,0.21992481159119726
Montevideo,8.103631185637884,0.9995317840147391,0.20258441859048537,0.293292319753313,0.30098383115002775
Madrid,5.373353107299156,0.8159046921247062,-0.14094276818681195,0.20121814842828994,0.17692274859818663
Sao Paulo,7.166895000415147,0.8671422931791173,-0.04105160960184667,0.2489325183976952,0.2105083957391933
AGS,6.122757138543245,0.9452911766596077,0.20237518358801432,0.3204925686728862,0.28696080348700265
GDL,8.172620035507691,0.9412828306870735,0.16833630662290244,0.3035956882985132,0.2739642674722916
Pachuca,6.527077499397685,0.9921212750727367,0.1440412038983595,0.23722618129924292,0.2490750443975899
Oaxaca,4.4088444372089945,0.9166599934389714,0.13294684554538383,0.26292267675499226,0.2525980346846883
Valencia,16.59479459979742,1.1431778519674838,0.4835976212768719,0.3824831541855997,0.3997996809729467
