Ciudad,Colaboratividad Original,Colaboratividad 1,Colaboratividad 2,Colaboratividad 10,Colaboratividad 11,Ranking Original,Ranking 1,Ranking 2,Ranking 10,Ranking 11
CABA,5.773442678862118,0.9218574805763633,0.11457400451876054,0.3550506069895965,0.25204006032003,2,6,6,5,5
CDMX,3.6361905472638205,0.817117924240975,-0.10580941933338261,0.25259325296767354,0.16518309782537388,8,9,9,10,10
Santiago,5.571008675471697,0.9567478570975168,0.10300480208538731,0.3607242986703179,0.24769740408772767,3,3,7,4,7
Montevideo,8.47125463111201,1.124531784014739,0.45258441859048537,0.45665116981261733,0.3875650855253491,1,1,1,1,1
Madrid,4.256042609212872,0.8539046921247062,-0.06494276818681188,0.29793509490093134,0.20102348643914064,5,8,8,8,8
Sao Paulo,3.258518269517524,0.7936422931791174,-0.1880516096018467,0.2624527531780624,0.16878306058868053,9,10,10,9,9
AGS,3.6605751703155427,0.9452911766596077,0.20237518358801432,0.3813146046514809,0.28696080348700265,7,4,2,2,2
GDL,4.845969303063372,0.9412828306870735,0.16833630662290244,0.3727940858084724,0.2739642674722916,4,5,3,3,3
Pachuca,3.686996860738719,0.9921212750727367,0.1440412038983595,0.3263765115437507,0.2490750443975899,6,2,4,7,6
Oaxaca,2.495120182304686,0.9166599934389714,0.13294684554538383,0.3273495989749658,0.2525980346846883,10,7,5,6,4
Valencia,9.321964187186081,1.1431778519674838,0.4835976212768719,0.45922483280909654,0.3997996809729467,0,0,0,0,0
